,reviews,star,date
0,"Produto de boa qualidade, tanto pela aparência como pela funcionalidade. Materiais resistentes, boa altura e facilidade de regulagem(no começo pode parecer meio incômodo a regulagem das hastes, mas é tranquilo ( 5mm não fazem diferença ) ... uso com notebook de 15.6"" e atende muito bem minha necessidade. Bom investimento para ergonomia tanto em casa como no trabalho.","4,0",24 de setembro de 2019
1,O suporte possui hastes grossas em ferro pintado de preto que não descasca. Acompanham duas borrachas que auxiliam no suporte para a estabilidade da frente do Notebook (que poderia virar para trás. Os pés de apoio são calçados com plástico e não arranham superfícies e evitam o deslizamento. Recomendo!,"5,0",5 de março de 2020
2,,"4,0",14 de julho de 2020
3,"Comprei esse suporte porque comecei a fazer home office devido a crise do Covid-19. Foi uma ótima compra! Estava começando a sentir muitas dores nas costas e no pescoço, o suporte me serviu muito bem. Ele é prático, leve, ocupa pouco espaço e o seu material, que é de ferro, parece que vai durar por muito tempo.A grande vantagem dele para mim é a portabilidade. Eu posso levá-lo para outros lugares comigo (por enquanto não posso sair muito, mais pra frente poderei levá-lo para a faculdade) porque é possível adaptar o tamanho. A regulagem pode parecer complicada em um primeiro momento, mas depois que você entende como funciona, fica mais fácil. O suporte conta também com duas alças de silicone na parte debaixo para fixar o notebook e não ficar escorregando para os lados.Recomendo muito o produto!","5,0",3 de abril de 2020
4,"Acabei comprando kit completo,teclado,mousse e o suporte.Não tive problema nenhum em montar,foi super simples e rápido,a encomenda chegou antes do previsto e em excelentes condição e bem embalada. Pelo valor comprado os materiais me parecem bem resistente e está atendendo muito bem as minhas necessidades e acredito que se eu tomar os devidos cuidados os acessórios vão ter maior durabilidade. A minha coluna está agradecida!!! E a Amazon de Parabéns!!!","5,0",25 de julho de 2020
5,"Acabei de recebe-lo. O ferro me passou segurança, as juntas são um pouco duvidosas mas a durabilidade delas só saberei com tempo de uso. Um lado é mais fácil de ajustar e o outro é um pouco mais durinho mas n tive problemas.  Uma perna fica mais pra cima que a outra mas isso não é um problema, o peso do notebook acerta,  no vídeo de demonstração ja dava pra ver que é normal do produto ficar com uma perna mais pra cima. meu notebook tem 2.5 kg e 15.6'' fiquei com medo de ser pequeno mas esta certinho. É bem estável. Agr mesmo estou digitando em cima do suporte pois ainda não comprei o teclado e ele mal treme.Pesquisei bastante e acabei escolhendo esse pois além das boas avaliações, a amazon me da frete grátis e todos no mercado tem o preço parecido. Espero ter ajudado.","5,0",4 de agosto de 2020
6,"É funcional, atende o objetivo que é proporcionar ergonomia, deixando a tela do notebook na altura dos olhos, evitando deixar o pescoço num ângulo desfavorável para a cervical. O aço do produto é bem reforçado e resistente, porém como foi dito em outros comentários aqui, o meu também veio com um leve empeno, dando um pouco de trabalho na hora de estabilizar ele na mesa de forma que o computador não fique torto ou para um lado ou para o outro. Dá para desempenar com um pouquinho de força e estabilizar as hastes para um encaixe relativamente perfeito do computador. Se não estiver disposto a correr esse risco e ter o trabalho de ficar tentando estabilizar não compre. Fora isso para mim está funcionando muito bem.","4,0",8 de agosto de 2020
7,"Pontos fortes:Ergonomia excelente. Material da estrutura de boa qualidade e firme. Muito bom acabamento. Fácil de montar, dobrar e transportar. Atua com eficiência no resfriamento e ventilação do dispositivo, mesmo não dispondo de ventilador ou cooler ativo. Obs: ainda não testei a possibilidade de levar a bordo de aeronaves. Tendo em vista que é metálico e tem um tamanho razoável, não sei como reagirão os responsáveis pela fiscalização.Pontos fracos:O sistema de ajuste da inclinação do teclado deve ser melhorado, atualmente é razoável. A fixação dos apoios frontais poderiam ser mais firmes, atualmente apresentam facilidade de girar. Obs: estes pontos fracos não prejudicam o bom funcionamento do produto, apenas requerem um esforço adicional para ajusta-lo à sua posição ideal.No geral, o produto é e faz exatamente o que é anunciado pelo vendedor. O prazo foi antecipado e veio muito bem embalado. Uma caixa de papelão rígido do próprio fabricante, acondicionada em um envelope de plástico bolha e ambos contidos em um envelope de papel rígido e aparentemente impermeável. Em minha opinião o custo/benefício é excelente para quem, como eu, necessita deste tipo de produto.","5,0",31 de janeiro de 2021
8,"Indico bastante o produto, alguns pontos que considerei fundamentais para minha usabilidade:- É um suporte bem construído em material de qualidade, o que confere resistência;- Prático de montar e desmontar;- Extremamente compacto, sendo perfeito para carregá-lo em mochilas;- Se adapta aos mais diversos aparelhos (laptops e tablets);- Regulagem de altura;- Estável durante o uso.Compra mais do que indicada pra quem precisa de um suporte mas não quer trambolhos em cima da mesa!:)","5,0",5 de abril de 2021
9,"Estou utilizando há pouco mais de uma semana. A ergonomia melhorou bastante,pois elevou cerca de 14 cm a minha linha de visao. O material do suporte em si é um pouco pesado: me parece q é aço inox. Creio que vai suportar. As peças que ficam nas ""juntas"" do suporte é de péssima qualidade. Sei q não vai durar muito tempo. É um plástico seco.Meu notebook pesa 1.83 kg,14 polegadas. É um notebook pesado com uma tela relativamente grande. Tento deixar o teclado externo longe do suporte para que eu não toque acidentalmente e o notebook venha a cair. Isso é importante. Vou aguardar se nos próximos dias  a estabilidade vai ceder, como li em alguns comentários. Até o momento, foi uma das melhores  (se não ) a melhor compra do ano, principalmente para alguém como eu q trabalha em home office.","5,0",14 de junho de 2020
