,date,reviews,star,sentiment
0,2019-04-07,"Leve, simples, ocupa pouco espaço.",5,positive
1,2019-09-24,"Produto de boa qualidade, tanto pela aparência como pela funcionalidade. Materiais resistentes, boa altura e facilidade de regulagem(no começo pode parecer meio incômodo a regulagem das hastes, mas é tranquilo ( 5mm não fazem diferença ) ... uso com notebook de 15.6"" e atende muito bem minha necessidade. Bom investimento para ergonomia tanto em casa como no trabalho.",4,positive
2,2019-10-10,"Duro, pequeno e não tão resistente. Já desincaixou na primeira semana, além de ser bem duro pra girar os ferrinhos.",2,negative
3,2019-10-31,"Fácil de montar e desmontar, pode ser posicionado em várias posições, inclusive posições bastante na vertical. Ao fechar, fica super compacto para transporte.",5,positive
4,2019-12-02,"Prático, leve e resistente",5,positive
5,2019-12-20,Produto conforme descrito...simples de usar e atende a expectativa. Não rss possível avaliar a durabilidade ainda.,5,positive
6,2019-12-28,Produto simples e de fácil ajuste. Ótimo para ergonomia e também para usar o notebook como uma segunda tela,5,positive
7,2020-01-06,Ótimo produto.,4,positive
8,2020-01-07,"gostei muito do produto, e da agilidade da entrega chegou em um dia!",5,positive
9,2020-01-14,"O produto cumpre com  o que promete, mas poderia ter sido feito com um pouco mais de qualidade, é um pouco difícil de articular ele pelo seu material, mas cumpre seu papel.",4,positive
10,2020-01-15,O produto chegou muito rápido e é exatamente o que eu esperava. Não é frágil e é muito fácil de manusear,5,positive
11,2020-01-16,"É meio estranho e menos prático, comparado a outro que tenho. Mas, é bonito e funciona para o quê foi criado.",5,positive
12,2020-01-18,Entregue conforme o esperado e produto conforme o desejado.,5,positive
13,2020-01-21,Massa demais!,5,positive
14,2020-01-23,"Produto com pouca regulagem de altura, o que dificulta seu uso em espaço limitado.",3,negative
15,2020-01-25,É sólido e bastante estável. Já tinha um modelo cromado e agora comprei na cor preta. É bastante durável e se adapta a qualquer notebook. Vale a pena.,5,positive
16,2020-01-26,"Veio com uma das peças de plástico que protegem as extremidades descolada. Nada que um pouco de cola não ajuste, mas o ideal seria vir 100%.",4,positive
17,2020-01-27,Suporte de boa qualidade e ajustável em diferentes alturas.,5,positive
18,2020-01-27,Funciona bem para elevar o monitor de forma discreta. Requer um teclado a parte para a questão ergonômica na digitação.,5,positive
19,2020-01-28,Cumpre o objetivo.,4,positive
20,2020-01-29,muito bom,5,positive
21,2020-01-31,Adorei!,5,positive
