,reviews,star,date
0,Não recomendo!!Produto veio torto e não tem uma regulagem adequada para um notebook de 14 polegadas.Talvez seja ideal para um tablet mas para um laptop de 14pol é muito ruim. o notebook desliza com facilidade tornando-se perigoso.Triste pois tinha achado que foi uma boa compra!,"1,0",5 de fevereiro de 2020
1,"Um dos braços articuláveis veio com defeito. É como se a peça estivesse muito apertada e não dá para moviemntar com facilidade. Deu a impressão de que o produto veio usado e só foi repassado para um novo comprador. Com muita dificuldade consigo ajeitar numa altura ideal, porém não tenho a menor vontade de movimentá-la novamente devido a dificuldade no deslize da peça.Só não troquei porque não vale a pena o esforço de ter que ir até os Correios para mandar de volta e ficar sabe se lá quanto tempo sem o suporte.Em resumo, procurem outro produto de outra fabricante. Nem percam tempo com essa.","1,0",23 de abril de 2020
2,"Cumpre a função. Difícil manuseio no início e até hoje não conseguir deixar o notebook reto, fica sempre um lado mais baixo que o outro, não sei dizer se é por falta de jeito pra arrumar ou se o produto que veio torto mesmo. De qualquer forma, considero um ponto negativo, pois deveria ser mais simples de ajustar.","3,0",11 de abril de 2020
3,"Apesar de ser bem acabado, foi impossível consguir deixar o notebook numa posição adequada... sem q fique torto.Como sou perfeccionista pra mim é um tipo de produto que não serve.Se você não se incomoda com a assimetria nas peças... talvez sirva.Tentei por várias vezes com que ficasse numa possição perfeita, mas foi impossível.","1,0",4 de julho de 2020
4,"Ele é super torto, não tem nenhuma estabilidade, a impressão é de o pc vai cair e talvez não seja só impressão. Um dos lados veio bem firme e o outro bem flexível ao ponto de deslizar. Péssimo produto, estou super insatisfeita. Sem falar na regulagem que assim como as outras características, é péssima! Ele é de um material parecido com ferro, parece durável, mas deve ser só impressão o plástico que sustenta o notebook parece frágil. Não indico, salvo se conseguirem comprar em lojas físicas e avaliar o produto.","1,0",9 de julho de 2020
5,"O produto é 5 estrelas. A base de ferro é resistente, pintura bem acabada. As partes plásticas são de um plástico firme. A elevação dele é bem interessante.MAASSSS, o ferro veio torto, bem torto, o plástico veio ralado, parece que alguém caiu de moto no asfalto com ele na mão. Eu desentortei aqui e como a parte ralada fica escondida não vou me dar o trabalho de devolver e receber outro.Enfim, recomendo o produto, compraria outro, mas não online.","1,0",9 de junho de 2020
6,"Achei fraquíssimo. O material é bem desingoçado e não fica bem ajustado parece sempre torto. Cumpre o que promete de maneira muito básica, e claramente é de material de baixa qualidade e acho que não vai durar muito. arrependi um pouco de comprar, preferia ter investido um pouco mais em algo um pouco superior. De qualquer maneira sim minimamente cumpre o que promete mas é bastante fraco. Até senti insegurança em deixar um notebook caro sendo segurado por esse equiapmentp. vontade de devolver","1,0",13 de julho de 2020
7,"Duro, pequeno e não tão resistente. Já desincaixou na primeira semana, além de ser bem duro pra girar os ferrinhos.","2,0",10 de outubro de 2019
8,"A estrutura do suporte não é simétrica, o notebook fica torto (inclinado para um dos lados). Passei horas tentando ajustar a regulagem de altura para que o notebook ficasse reto e todos os pés estivessem encostando na mesa, por incrível que pareça, não é fácil. Precisei usar também um pouco de força bruta para tentar ""alinhar"" o suporte.A ideia do suporte é boa, mas na prática é péssimo. não vou mexer nele tão cedo, senão irei perder a regulagem que demorei horas para achar.","2,0",30 de agosto de 2020
9,"Comprei super animado e os comentários negativos praticamente ignorei poque achei o produto muito massa. Chegou hoje, parece que ja foi usado e a qualquer momento parece que vai se desfazer. Decepcionado, mas tentarei trocar por outro do mesmo, poque ergonomicamente ele é ótimo e aguenta um notebook pesado como o meu, um dell g3.","1,0",30 de julho de 2020
10,"Boa opção para o home office, mas a peça que recebi veio um pouco torta. Para que o notebook possa ficar na posição correta, é necessário ajustar o lado esquerdo de forma diferente do lado direito. Mesmo assim, ele é estável e atendeu bem minha necessidade (notebook de 15 polegadas).","3,0",2 de junho de 2020
